property_type,price_aprox_usd,surface_covered_in_m2,lat,lon,state
store,128000.0,50.0,20.6148413173,-87.0929842048,Quintana Roo
apartment,46726.39,75.0,19.361114,-99.222666,Distrito Federal
house,167846.24,200.0,19.50772,-99.121305,Distrito Federal
apartment,105741.77,60.0,19.493973,-99.130394,Distrito Federal
apartment,163328.09,100.0,19.394073,-99.153915,Distrito Federal
apartment,332836.85,110.0,19.371342,-99.253616,Distrito Federal
apartment,104319.23,65.0,19.386852,-99.194748,Distrito Federal
house,81664.04,210.0,19.546144,-99.13029,Distrito Federal
apartment,892706.0,168.0,19.4330857,-99.2005645,Distrito Federal
apartment,50930.23,103.0,19.38499,-99.227853,Distrito Federal
house,209278.61,330.0,19.47517,-99.152534,Distrito Federal
apartment,368805.38,330.0,19.365528,-99.17952,Distrito Federal
apartment,139000.0,125.0,20.630723,-87.073113,Solidaridad
apartment,187081.37,100.0,19.3392293,-99.2189838,Distrito Federal
